country,GHI_mean,GHI_median,GHI_std,DNI_mean,DNI_median,DNI_std,DHI_mean,DHI_median,DHI_std
benin,212.812661308941,-0.8,310.6414141587932,146.23594253779464,-0.2,239.0456118762668,106.2680960569368,-0.8,150.0926633449508
sierraleone,0.3571872518552646,-1.6,16.118226521831353,0.3369683779871316,-0.2,4.56213038698749,0.015888452099692543,-2.4,15.642189170452035
togo,134.29004265778482,-1.0,231.52012231083697,79.41869639946923,0.0,163.5518316974143,82.64428617228758,0.0,129.3404430245711
